THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Heartbreak,"$1,000 Wedding",Gram Parsons,1974,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
Heartbreak,"Cold, Cold Heart",Hank Williams,1951,http://open.spotify.com/track/56KLeNPhvXXyXGQ9TEYDCC
Heartbreak,"Don’t Think Twice, It’s All Right",Bob Dylan,1963,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU
Heartbreak,"If You See Her, Say Hello",Bob Dylan,1975,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar
Heartbreak,"Please, Please, Please Let Me Get What I Want",The Smiths,1984,""
Heartbreak,"So Long, Marianne",Leonard Cohen,1967,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK
Heartbreak,"The More You Ignore Me, The Closer I Get",Morrissey,1994,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
Heartbreak,(My Heart Is) Closed for the Season,Bettye Swann,1968,http://open.spotify.com/track/6AS7rbXQIE2cSCtNXg3RPm
Heartbreak,(The Best Part of) Breakin’ Up,The Ronettes,1964,""
Heartbreak,50 Ways to Leave Your Lover,Paul Simon,1975,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
Heartbreak,A Little Lost,Arthur Russell,1994,""
Heartbreak,A Man Needs a Maid,Neil Young,1972,http://open.spotify.com/track/09EdAJXci83YhVYUaZtLOw
Heartbreak,Against All Odds (Take a Look at Me Now),Phil Collins,1984,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY
Heartbreak,Ain’t No Sunshine,Bill Withers,1971,http://open.spotify.com/track/7u9s9Kn0J9U69J0qQV3E5M
Heartbreak,All Or Nothing,The Small Faces,1966,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
Heartbreak,Always on My Mind,Elvis Presley,1972,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
Heartbreak,Back for Good,Take That,1995,http://open.spotify.com/track/1cnoj3gWltCrWBZ77jZtmj
Heartbreak,Bed is For Sleeping,Bonnie ‘Prince’ Billy and Matt Sweeney,2005,""
Heartbreak,Beware of Young Girls,Dory Previn,1970,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
Heartbreak,Bleeding Love,Leona Lewis,2007,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
Heartbreak,Blue Monday,New Order,1983,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
Heartbreak,Broken Heart,Spiritualized,1997,""
Heartbreak,Brown Skin Woman,Snooks Eaglin,1962,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe
Heartbreak,Call Me on Your Way Back Home,Ryan Adams,2000,""
Heartbreak,Can’t Stand Losing You,The Police,1978,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
Heartbreak,Caught Out There,Kelis,1999,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
Heartbreak,Christine,The House of Love,1988,""
Heartbreak,Crazy For You,Madonna,1985,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
Heartbreak,Crazy,Patsy Cline,1961,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi
Heartbreak,Crying,Roy Orbison,1961,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
Heartbreak,D-I-V-O-R-C-E,Tammy Wynette,1968,""
Heartbreak,Daddy’s Gone,Glasvegas,2007,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I
Heartbreak,Delilah,Tom Jones,1968,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
Heartbreak,Devil Got My Woman,Skip James,1931,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
Heartbreak,Diamonds and Rust,Joan Baez,1975,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX
Heartbreak,Disintegration,The Cure,1989,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l
Heartbreak,Divorce Song,Liz Phair,1993,""
Heartbreak,Don’t Leave Me This Way,The Communards,1986,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB
Heartbreak,Don’t You Want Me?,The Human League,1981,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
Heartbreak,Dry Your Eyes,The Streets,2004,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp
Heartbreak,Either Side of the Same Town,Elvis Costello,2004,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25
Heartbreak,Emily,Stephen Fretwell,2004,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA
Heartbreak,Ever Fallen in Love (With Someone You Shouldn’t’ve),Buzzcocks,1978,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I
Heartbreak,Every Breath You Take,The Police,1983,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
Heartbreak,Everybody Hurts,REM,1992,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
Heartbreak,Far From Me,Nick Cave,1997,http://open.spotify.com/track/6CjDPROOVDYN4v1JuidAJE
Heartbreak,Femme Fatale,The Velvet Underground and Nico,1967,http://open.spotify.com/track/63uM3G418omzGOIT9ltPmt
